,temp,DF1,DF2,DF3,DF4,DF5
0,65.0,4.527572302448718,4.388229928128342,4.396066053,4.524418346518248,4.329888714567742
1,75.0,4.0995060414880955,3.9805175206268664,3.9698870066932272,4.116950748047619,3.9340170684504505
2,85.0,3.7657176617877095,3.673707781380282,3.633203154913858,3.794894626948718,3.638410729471591
3,95.0,3.473434906074074,3.4017177791071425,3.368752870982206,3.5311927112782873,3.3742777271675672
4,105.0,3.168737967137056,3.0935279632222223,3.070744660457338,3.2143278667096773,3.082955413792208
5,115.0,2.830147099480392,2.7732758295785125,2.7475412831250003,2.880755405943182,2.7613480232412058
