,temp,ATMO_1,ATMO_2,ATMO_3,ATMO_4
0,-13.0,1.83125,1.7444444444444445,1.532258064516129,1.5085714285714287
1,-4.0,1.9130434782608694,1.8736842105263158,1.6737160120845922,1.6621621621621623
2,5.0,2.0,2.0050251256281406,1.7982954545454546,1.7979539641943734
3,14.0,2.315151515151515,2.2270531400966185,1.9971181556195963,1.992146596858639
4,23.0,2.609467455621302,2.4485981308411215,2.2082111436950145,2.1871657754010694
5,32.0,2.8901734104046244,2.6561085972850678,2.4196428571428577,2.390710382513661
6,43.0,3.2134831460674156,2.8782608695652177,2.6818181818181817,2.651685393258427
7,60.0,3.6145833333333335,3.309917355371901,3.0196629213483144,2.9843750000000004
